row_id,drone_id,shot_index,missile_id,heading_cos,heading_sin,speed,release_time,fuse_delay,coverage_centroid,centerline_duration,unique_contribution_ratio,criterion_retention_ratio
FY1-1,FY1,1,M1,-1.0,1.2246467991473532e-16,130.0,0.1039714460623582,2.958528553937642,7.58239626746227,2.309159289088381,0.8188490982900853,0.9686625406717901
FY1-2,FY1,2,M1,-1.0,1.2246467991473532e-16,130.0,2.675985417502111,4.636514582497889,9.453248815079586,2.2691583809666227,0.8156557554911623,0.968173727324888
FY1-3,FY1,3,M1,-1.0,1.2246467991473532e-16,130.0,5.1562966650729365,5.6562033349270635,11.462279570716445,1.2995591414328906,0.9999999999999972,0.9999999999999959
FY2-1,FY2,1,M2,-0.34202014332566855,-0.9396926207859084,110.0,5.045496565025882,4.517003434974118,13.629149732764693,4.6893161991167,0.9999999999999992,0.812436452184743
FY2-2,FY2,2,M1,-0.34202014332566855,-0.9396926207859084,110.0,6.062855436183845,6.999644563816155,15.614546567438873,4.845787129775932,1.0000000000000007,0.7884302309636927
FY2-3,FY2,3,M3,-0.34202014332566855,-0.9396926207859084,110.0,10.765560903581697,6.296939096418302,19.14508599061168,3.7619800819961853,0.5909975782591829,0.9355193079606968
FY3-1,FY3,1,M3,-0.6427876096865394,0.766044443118978,130.0,22.02935407918923,8.033145920810771,34.246080154749485,4.4498441764788765,1.0000000000000016,0.5274229738576931
FY3-2,FY3,2,M1,-0.6427876096865394,0.766044443118978,130.0,23.04581778307171,8.266682216928292,39.15641778993222,4.829657215689899,1.0,0.4948223687592485
FY3-3,FY3,3,M2,-0.6427876096865394,0.766044443118978,130.0,24.293879872490436,8.018620127509564,37.99301665376916,4.498779807192605,1.0,0.512332669437918
FY4-1,FY4,1,M2,-0.6427876096865395,-0.7660444431189779,140.0,3.1698785070712194,12.14262149292878,19.47902189329318,4.5449008519067995,0.9999999999999992,0.7690912543908033
FY4-2,FY4,2,M1,-0.6427876096865395,-0.7660444431189779,140.0,4.879600413348291,13.18289958665171,21.135766849503447,4.791514858175013,1.0,0.7321332405540754
FY4-3,FY4,3,M3,-0.6427876096865395,-0.7660444431189779,140.0,8.347560173147073,12.964939826852927,27.0078453098857,3.2455576027277324,1.000000000000001,0.926434072600427
FY5-1,FY5,1,M3,-0.4999999999999998,0.8660254037844387,130.0,12.40559786038552,1.906902139614481,16.859690239132075,3.88612934911734,0.6040638831472157,0.9409354728292744
FY5-2,FY5,2,M1,-0.4999999999999998,0.8660254037844387,130.0,13.517384953137608,4.295115046862391,25.86470895301858,2.981270754837233,1.0,0.963209063287573
FY5-3,FY5,3,M2,-0.4999999999999998,0.8660254037844387,130.0,19.977144797683895,1.0853552023161062,23.43611948738702,2.638289582918624,1.0,0.9632829340110252
