row_id,drone_id,shot_index,missile_id,weighted_z_heading_cos,weighted_z_heading_sin,weighted_z_speed,weighted_z_release_time,weighted_z_fuse_delay,weighted_z_coverage_centroid,weighted_z_centerline_duration,weighted_z_unique_contribution_ratio,weighted_z_criterion_retention_ratio
FY1-1,FY1,1,M1,-0.4637828178060151,0.018246904969276716,0.19720265943665385,-1.3155695513773062,-0.9943088212558976,-1.4056203866661503,-1.1900040231003535,-0.7050225163748985,0.8243255735187847
FY1-2,FY1,2,M1,-0.4637828178060151,0.018246904969276716,0.19720265943665385,-0.9981861068962201,-0.5520123360361773,-1.2162778287236797,-1.2249989061345026,-0.726854703564865,0.8216116177254991
FY1-3,FY1,3,M1,-0.4637828178060151,0.018246904969276716,0.19720265943665385,-0.6921186687405293,-0.28323491861961014,-1.012950729139139,-2.0732549475773774,0.5334666295745543,0.998315256553504
FY2-1,FY2,1,M2,0.351104482483559,-1.1455327686587413,-1.7748239349298847,-0.7057912684201095,-0.5835140050576375,-0.7936492455807704,0.8922815194135096,0.5334666295745679,-0.043062153512104955
FY2-2,FY2,2,M1,0.351104482483559,-1.1455327686587413,-1.7748239349298847,-0.5802504018513497,0.07087967084854188,-0.5927140539287833,1.0291704595344915,0.5334666295745777,-0.1763478413327662
FY2-3,FY2,3,M3,0.351104482483559,-1.1455327686587413,-1.7748239349298847,5.782205276336867e-05,-0.11434485014549078,-0.23540029013075467,0.08099946418631226,-2.2627935889045174,0.6403099998963637
FY3-1,FY3,1,M3,-0.021386538619316366,0.9669687872928309,0.19720265943665385,1.389996413247781,0.3432979209937741,1.2929194409745512,0.6827788902068667,0.5334666295745838,-1.625494355031153
FY3-2,FY3,2,M1,-0.021386538619316366,0.9669687872928309,0.19720265943665385,1.5154268172465721,0.40485521717259776,1.7898778407109581,1.0150591684839627,0.5334666295745731,-1.806497189000948
FY3-3,FY3,3,M2,-0.021386538619316366,0.9669687872928309,0.19720265943665385,1.6694361847167816,0.3394691004834719,1.6721340092610468,0.7255903350824828,0.5334666295745731,-1.7092777037511597
FY4-1,FY4,1,M2,-0.0213865386193165,-0.9304749773542776,1.1832159566199232,-0.9372402910050636,1.4265051531801143,-0.20160378485134636,0.7659394331647852,0.5334666295745679,-0.28372037491606045
FY4-2,FY4,2,M1,-0.0213865386193165,-0.9304749773542776,1.1832159566199232,-0.7262626549017767,1.7007096678026281,-0.033930320544043525,0.9816902425631515,0.5334666295745731,-0.48891611352711506
FY4-3,FY4,3,M3,-0.0213865386193165,-0.9304749773542776,1.1832159566199232,-0.29832057289566394,1.6432581550739722,0.5603625634909234,-0.3707938851845367,0.5334666295745808,0.5898675819557873
FY5-1,FY5,1,M3,0.15545141256108921,1.0907920537509115,0.19720265943665385,0.20243641882815355,-1.2715046136537906,-0.4666973413318828,0.18961172539937496,-2.1734621164760286,0.6703812573929601
FY5-2,FY5,2,M1,0.15545141256108921,1.0907920537509115,0.19720265943665385,0.3396296148782304,-0.6420010559045941,0.4446696607221208,-0.6020058192046345,0.5334666295745731,0.7940471520430872
FY5-3,FY5,3,M2,0.15545141256108921,1.0907920537509115,0.19720265943665385,1.1367562451177395,-1.4880542848819087,0.19888046573694917,-0.9020636568335344,0.5334666295745731,0.7944572919853322
